Input Board,decision,Output Board,Input Graph,Output Graph
OX O OX X,8,OX O OXXX,"[[2, 1, 0], [2, 0, 2], [1, 0, 1]]","[[2, 1, 0], [2, 0, 2], [1, 1, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 O XXOOX ,5, O XXOOX ,"[[0, 2, 0], [1, 1, 2], [2, 1, 0]]","[[0, 2, 0], [1, 1, 2], [2, 1, 0]]"
 XXOO XO ,1,XXXOO XO ,"[[0, 1, 1], [2, 2, 0], [1, 2, 0]]","[[1, 1, 1], [2, 2, 0], [1, 2, 0]]"
 O  XX  O,4, O XXX  O,"[[0, 2, 0], [0, 1, 1], [0, 0, 2]]","[[0, 2, 0], [1, 1, 1], [0, 0, 2]]"
XX    OO ,3,XXX   OO ,"[[1, 1, 0], [0, 0, 0], [2, 2, 0]]","[[1, 1, 1], [0, 0, 0], [2, 2, 0]]"
XX OO   X,6,XX OOO  X,"[[1, 1, 0], [2, 2, 0], [0, 0, 1]]","[[1, 1, 0], [2, 2, 2], [0, 0, 1]]"
   O X   ,9,   O X  X,"[[0, 0, 0], [2, 0, 1], [0, 0, 0]]","[[0, 0, 0], [2, 0, 1], [0, 0, 1]]"
O O XXX O,4,O OXXXX O,"[[2, 0, 2], [0, 1, 1], [1, 0, 2]]","[[2, 0, 2], [1, 1, 1], [1, 0, 2]]"
  XOX O X,1,O XOX O X,"[[0, 0, 1], [2, 1, 0], [2, 0, 1]]","[[2, 0, 1], [2, 1, 0], [2, 0, 1]]"
OOXX OOXX,5,OOXXXOOXX,"[[2, 2, 1], [1, 0, 2], [2, 1, 1]]","[[2, 2, 1], [1, 1, 2], [2, 1, 1]]"
   XXO OX,1,O  XXO OX,"[[0, 0, 0], [1, 1, 2], [0, 2, 1]]","[[2, 0, 0], [1, 1, 2], [0, 2, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 OX X   O,7, OX X X O,"[[0, 2, 1], [0, 1, 0], [0, 0, 2]]","[[0, 2, 1], [0, 1, 0], [1, 0, 2]]"
OX OXX OX,7,OX OXXOOX,"[[2, 1, 0], [2, 1, 1], [0, 2, 1]]","[[2, 1, 0], [2, 1, 1], [2, 2, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
    OOX X,8,    OOXXX,"[[0, 0, 0], [0, 2, 2], [1, 0, 1]]","[[0, 0, 0], [0, 2, 2], [1, 1, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 O  XOX  ,3, OX XOX  ,"[[0, 2, 0], [0, 1, 2], [1, 0, 0]]","[[0, 2, 1], [0, 1, 2], [1, 0, 0]]"
 OO    XX,7, OO   XXX,"[[0, 2, 2], [0, 0, 0], [0, 1, 1]]","[[0, 2, 2], [0, 0, 0], [1, 1, 1]]"
 O X    X,1,OO X    X,"[[0, 2, 0], [1, 0, 0], [0, 0, 1]]","[[2, 2, 0], [1, 0, 0], [0, 0, 1]]"
O  O XX X,3,O OO XX X,"[[2, 0, 0], [2, 0, 1], [1, 0, 1]]","[[2, 0, 2], [2, 0, 1], [1, 0, 1]]"
XO  XX O ,4,XO OXX O ,"[[1, 2, 0], [0, 1, 1], [0, 2, 0]]","[[1, 2, 0], [2, 1, 1], [0, 2, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
XX O OXO ,3,XXXO OXO ,"[[1, 1, 0], [2, 0, 2], [1, 2, 0]]","[[1, 1, 1], [2, 0, 2], [1, 2, 0]]"
O   O  XX,7,O   O XXX,"[[2, 0, 0], [0, 2, 0], [0, 1, 1]]","[[2, 0, 0], [0, 2, 0], [1, 1, 1]]"
O XO    X,6,O XO X  X,"[[2, 0, 1], [2, 0, 0], [0, 0, 1]]","[[2, 0, 1], [2, 0, 1], [0, 0, 1]]"
XXOO OX X,5,XXOOOOX X,"[[1, 1, 2], [2, 0, 2], [1, 0, 1]]","[[1, 1, 2], [2, 2, 2], [1, 0, 1]]"
OXOX OXOX,5,OXOXXOXOX,"[[2, 1, 2], [1, 0, 2], [1, 2, 1]]","[[2, 1, 2], [1, 1, 2], [1, 2, 1]]"
     O X ,3,  X  O X ,"[[0, 0, 0], [0, 0, 2], [0, 1, 0]]","[[0, 0, 1], [0, 0, 2], [0, 1, 0]]"
X X O XO ,2,XOX O XO ,"[[1, 0, 1], [0, 2, 0], [1, 2, 0]]","[[1, 2, 1], [0, 2, 0], [1, 2, 0]]"
 X  O    ,3, XX O    ,"[[0, 1, 0], [0, 2, 0], [0, 0, 0]]","[[0, 1, 1], [0, 2, 0], [0, 0, 0]]"
XOX O X  ,8,XOX O XO ,"[[1, 2, 1], [0, 2, 0], [1, 0, 0]]","[[1, 2, 1], [0, 2, 0], [1, 2, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
XXOOOXX  ,7,XXOOOXO  ,"[[1, 1, 2], [2, 2, 1], [1, 0, 0]]","[[1, 1, 2], [2, 2, 1], [2, 0, 0]]"
 OO    XX,7, OO   XXX,"[[0, 2, 2], [0, 0, 0], [0, 1, 1]]","[[0, 2, 2], [0, 0, 0], [1, 1, 1]]"
 X XOOXXO,1,OX XOOXXO,"[[0, 1, 0], [1, 2, 2], [1, 1, 2]]","[[2, 1, 0], [1, 2, 2], [1, 1, 2]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
XOX OO XX,4,XOXOOO XX,"[[1, 2, 1], [0, 2, 2], [0, 1, 1]]","[[1, 2, 1], [2, 2, 2], [0, 1, 1]]"
  XO  X  ,5,  XOO X  ,"[[0, 0, 1], [2, 0, 0], [1, 0, 0]]","[[0, 0, 1], [2, 2, 0], [1, 0, 0]]"
XXOXXOO  ,9,XXOXXOO O,"[[1, 1, 2], [1, 1, 2], [2, 0, 0]]","[[1, 1, 2], [1, 1, 2], [2, 0, 2]]"
 XOOX    ,8, XOOX  X ,"[[0, 1, 2], [2, 1, 0], [0, 0, 0]]","[[0, 1, 2], [2, 1, 0], [0, 1, 0]]"
O OXX OX ,2,OXOXX OX ,"[[2, 0, 2], [1, 1, 0], [2, 1, 0]]","[[2, 1, 2], [1, 1, 0], [2, 1, 0]]"
OX  O XX ,9,OX  O XXO,"[[2, 1, 0], [0, 2, 0], [1, 1, 0]]","[[2, 1, 0], [0, 2, 0], [1, 1, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XX O  OXO,3,XXXO  OXO,"[[1, 1, 0], [2, 0, 0], [2, 1, 2]]","[[1, 1, 1], [2, 0, 0], [2, 1, 2]]"
X  XOXOOX,2,XO XOXOOX,"[[1, 0, 0], [1, 2, 1], [2, 2, 1]]","[[1, 2, 0], [1, 2, 1], [2, 2, 1]]"
OXOXXO OX,1,XXOXXO OX,"[[2, 1, 2], [1, 1, 2], [0, 2, 1]]","[[1, 1, 2], [1, 1, 2], [0, 2, 1]]"
 O OX   X,1,XO OX   X,"[[0, 2, 0], [2, 1, 0], [0, 0, 1]]","[[1, 2, 0], [2, 1, 0], [0, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X X    OO,2,XXX    OO,"[[1, 0, 1], [0, 0, 0], [0, 2, 2]]","[[1, 1, 1], [0, 0, 0], [0, 2, 2]]"
 XXO  X O,1,OXXO  X O,"[[0, 1, 1], [2, 0, 0], [1, 0, 2]]","[[2, 1, 1], [2, 0, 0], [1, 0, 2]]"
  X OOXX ,4,  XOOOXX ,"[[0, 0, 1], [0, 2, 2], [1, 1, 0]]","[[0, 0, 1], [2, 2, 2], [1, 1, 0]]"
 OOX X  X,1,OOOX X  X,"[[0, 2, 2], [1, 0, 1], [0, 0, 1]]","[[2, 2, 2], [1, 0, 1], [0, 0, 1]]"
XOO  XOXX,5,XOO OXOXX,"[[1, 2, 2], [0, 0, 1], [2, 1, 1]]","[[1, 2, 2], [0, 2, 1], [2, 1, 1]]"
X OOOXXOX,2,XXOOOXXOX,"[[1, 0, 2], [2, 2, 1], [1, 2, 1]]","[[1, 1, 2], [2, 2, 1], [1, 2, 1]]"
X  OXO X ,2,XO OXO X ,"[[1, 0, 0], [2, 1, 2], [0, 1, 0]]","[[1, 2, 0], [2, 1, 2], [0, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
    XXO  ,4,   OXXO  ,"[[0, 0, 0], [0, 1, 1], [2, 0, 0]]","[[0, 0, 0], [2, 1, 1], [2, 0, 0]]"
  X     O,3,  X     O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[0, 0, 1], [0, 0, 0], [0, 0, 2]]"
OXOX  OXX,5,OXOXO OXX,"[[2, 1, 2], [1, 0, 0], [2, 1, 1]]","[[2, 1, 2], [1, 2, 0], [2, 1, 1]]"
O  X    X,1,O  X    X,"[[2, 0, 0], [1, 0, 0], [0, 0, 1]]","[[2, 0, 0], [1, 0, 0], [0, 0, 1]]"
OX       ,3,OXX      ,"[[2, 1, 0], [0, 0, 0], [0, 0, 0]]","[[2, 1, 1], [0, 0, 0], [0, 0, 0]]"
X      OX,5,X   O  OX,"[[1, 0, 0], [0, 0, 0], [0, 2, 1]]","[[1, 0, 0], [0, 2, 0], [0, 2, 1]]"
 OO  XX X,1,OOO  XX X,"[[0, 2, 2], [0, 0, 1], [1, 0, 1]]","[[2, 2, 2], [0, 0, 1], [1, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
XXOOO XXO,6,XXOOOXXXO,"[[1, 1, 2], [2, 2, 0], [1, 1, 2]]","[[1, 1, 2], [2, 2, 1], [1, 1, 2]]"
X    X  O,1,O    X  O,"[[1, 0, 0], [0, 0, 1], [0, 0, 2]]","[[2, 0, 0], [0, 0, 1], [0, 0, 2]]"
XOX  O   ,7,XOX  OX  ,"[[1, 2, 1], [0, 0, 2], [0, 0, 0]]","[[1, 2, 1], [0, 0, 2], [1, 0, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
 XOX  OXO,5, XOXX OXO,"[[0, 1, 2], [1, 0, 0], [2, 1, 2]]","[[0, 1, 2], [1, 1, 0], [2, 1, 2]]"
OXOX XO  ,5,OXOXXXO  ,"[[2, 1, 2], [1, 0, 1], [2, 0, 0]]","[[2, 1, 2], [1, 1, 1], [2, 0, 0]]"
XOO O XX ,4,XOOXO XX ,"[[1, 2, 2], [0, 2, 0], [1, 1, 0]]","[[1, 2, 2], [1, 2, 0], [1, 1, 0]]"
 O XOXXXO,1,OO XOXXXO,"[[0, 2, 0], [1, 2, 1], [1, 1, 2]]","[[2, 2, 0], [1, 2, 1], [1, 1, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XOOOXXXO ,9,XOOOXXXOX,"[[1, 2, 2], [2, 1, 1], [1, 2, 0]]","[[1, 2, 2], [2, 1, 1], [1, 2, 1]]"
  X  XO  ,9,  X  XO O,"[[0, 0, 1], [0, 0, 1], [2, 0, 0]]","[[0, 0, 1], [0, 0, 1], [2, 0, 2]]"
   XX OO ,6,   XXXOO ,"[[0, 0, 0], [1, 1, 0], [2, 2, 0]]","[[0, 0, 0], [1, 1, 1], [2, 2, 0]]"
 OXX OX O,1,XOXX OX O,"[[0, 2, 1], [1, 0, 2], [1, 0, 2]]","[[1, 2, 1], [1, 0, 2], [1, 0, 2]]"
X    OXXO,3,X O  OXXO,"[[1, 0, 0], [0, 0, 2], [1, 1, 2]]","[[1, 0, 2], [0, 0, 2], [1, 1, 2]]"
XOO XOX  ,4,XOOXXOX  ,"[[1, 2, 2], [0, 1, 2], [1, 0, 0]]","[[1, 2, 2], [1, 1, 2], [1, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
     XO  ,3,  X  XO  ,"[[0, 0, 0], [0, 0, 1], [2, 0, 0]]","[[0, 0, 1], [0, 0, 1], [2, 0, 0]]"
X XXO  OO,2,XXXXO  OO,"[[1, 0, 1], [1, 2, 0], [0, 2, 2]]","[[1, 1, 1], [1, 2, 0], [0, 2, 2]]"
OO     XX,7,OO    XXX,"[[2, 2, 0], [0, 0, 0], [0, 1, 1]]","[[2, 2, 0], [0, 0, 0], [1, 1, 1]]"
  X  O  X,7,  X  OO X,"[[0, 0, 1], [0, 0, 2], [0, 0, 1]]","[[0, 0, 1], [0, 0, 2], [2, 0, 1]]"
  O    X ,3,  X    X ,"[[0, 0, 2], [0, 0, 0], [0, 1, 0]]","[[0, 0, 1], [0, 0, 0], [0, 1, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
X X OXOO ,2,XXX OXOO ,"[[1, 0, 1], [0, 2, 1], [2, 2, 0]]","[[1, 1, 1], [0, 2, 1], [2, 2, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
OXXO OXXO,5,OXXOXOXXO,"[[2, 1, 1], [2, 0, 2], [1, 1, 2]]","[[2, 1, 1], [2, 1, 2], [1, 1, 2]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
XOOX XOX ,5,XOOXOXOX ,"[[1, 2, 2], [1, 0, 1], [2, 1, 0]]","[[1, 2, 2], [1, 2, 1], [2, 1, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 O   X  X,3, OO  X  X,"[[0, 2, 0], [0, 0, 1], [0, 0, 1]]","[[0, 2, 2], [0, 0, 1], [0, 0, 1]]"
O X   OXX,4,O XO  OXX,"[[2, 0, 1], [0, 0, 0], [2, 1, 1]]","[[2, 0, 1], [2, 0, 0], [2, 1, 1]]"
X   O    ,1,X   O    ,"[[1, 0, 0], [0, 2, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
XOXX OOOX,5,XOXXXOOOX,"[[1, 2, 1], [1, 0, 2], [2, 2, 1]]","[[1, 2, 1], [1, 1, 2], [2, 2, 1]]"
XXO OOX X,4,XXOOOOX X,"[[1, 1, 2], [0, 2, 2], [1, 0, 1]]","[[1, 1, 2], [2, 2, 2], [1, 0, 1]]"
X   OOXXO,4,X  XOOXXO,"[[1, 0, 0], [0, 2, 2], [1, 1, 2]]","[[1, 0, 0], [1, 2, 2], [1, 1, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
X OXOX OX,2,XOOXOX OX,"[[1, 0, 2], [1, 2, 1], [0, 2, 1]]","[[1, 2, 2], [1, 2, 1], [0, 2, 1]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
OXXX XOO ,9,OXXX XOOO,"[[2, 1, 1], [1, 0, 1], [2, 2, 0]]","[[2, 1, 1], [1, 0, 1], [2, 2, 2]]"
X     O  ,9,X     O X,"[[1, 0, 0], [0, 0, 0], [2, 0, 0]]","[[1, 0, 0], [0, 0, 0], [2, 0, 1]]"
 XX O    ,1,OXX O    ,"[[0, 1, 1], [0, 2, 0], [0, 0, 0]]","[[2, 1, 1], [0, 2, 0], [0, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
   OOXX X,3,  OOOXX X,"[[0, 0, 0], [2, 2, 1], [1, 0, 1]]","[[0, 0, 2], [2, 2, 1], [1, 0, 1]]"
XOOOXX XO,9,XOOOXX XX,"[[1, 2, 2], [2, 1, 1], [0, 1, 2]]","[[1, 2, 2], [2, 1, 1], [0, 1, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
X XOO  X ,6,X XOOO X ,"[[1, 0, 1], [2, 2, 0], [0, 1, 0]]","[[1, 0, 1], [2, 2, 2], [0, 1, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
OOXOXX   ,7,OOXOXXX  ,"[[2, 2, 1], [2, 1, 1], [0, 0, 0]]","[[2, 2, 1], [2, 1, 1], [1, 0, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 XXOX OO ,1,XXXOX OO ,"[[0, 1, 1], [2, 1, 0], [2, 2, 0]]","[[1, 1, 1], [2, 1, 0], [2, 2, 0]]"
  O XX OX,1,O O XX OX,"[[0, 0, 2], [0, 1, 1], [0, 2, 1]]","[[2, 0, 2], [0, 1, 1], [0, 2, 1]]"
O OX XXO ,5,O OXXXXO ,"[[2, 0, 2], [1, 0, 1], [1, 2, 0]]","[[2, 0, 2], [1, 1, 1], [1, 2, 0]]"
    X O  ,3,  X X O  ,"[[0, 0, 0], [0, 1, 0], [2, 0, 0]]","[[0, 0, 1], [0, 1, 0], [2, 0, 0]]"
   OXX   ,1,O  OXX   ,"[[0, 0, 0], [2, 1, 1], [0, 0, 0]]","[[2, 0, 0], [2, 1, 1], [0, 0, 0]]"
X  X  O O,8,X  X  OXO,"[[1, 0, 0], [1, 0, 0], [2, 0, 2]]","[[1, 0, 0], [1, 0, 0], [2, 1, 2]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
XOO  X  X,5,XOO OX  X,"[[1, 2, 2], [0, 0, 1], [0, 0, 1]]","[[1, 2, 2], [0, 2, 1], [0, 0, 1]]"
 O XX OOX,1,XO XX OOX,"[[0, 2, 0], [1, 1, 0], [2, 2, 1]]","[[1, 2, 0], [1, 1, 0], [2, 2, 1]]"
OO OXXXX ,3,OOOOXXXX ,"[[2, 2, 0], [2, 1, 1], [1, 1, 0]]","[[2, 2, 2], [2, 1, 1], [1, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
 XO  XOX ,5, XO OXOX ,"[[0, 1, 2], [0, 0, 1], [2, 1, 0]]","[[0, 1, 2], [0, 2, 1], [2, 1, 0]]"
 O   XOX ,7, O   XXX ,"[[0, 2, 0], [0, 0, 1], [2, 1, 0]]","[[0, 2, 0], [0, 0, 1], [1, 1, 0]]"
      OX ,3,  X   OX ,"[[0, 0, 0], [0, 0, 0], [2, 1, 0]]","[[0, 0, 1], [0, 0, 0], [2, 1, 0]]"
 OOX XX O,1,XOOX XX O,"[[0, 2, 2], [1, 0, 1], [1, 0, 2]]","[[1, 2, 2], [1, 0, 1], [1, 0, 2]]"
  XXOOOX ,3,  XXOOOX ,"[[0, 0, 1], [1, 2, 2], [2, 1, 0]]","[[0, 0, 1], [1, 2, 2], [2, 1, 0]]"
 OXX     ,1,OOXX     ,"[[0, 2, 1], [1, 0, 0], [0, 0, 0]]","[[2, 2, 1], [1, 0, 0], [0, 0, 0]]"
    XX O ,4,   OXX O ,"[[0, 0, 0], [0, 1, 1], [0, 2, 0]]","[[0, 0, 0], [2, 1, 1], [0, 2, 0]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
OXO XOXOX,4,OXOXXOXOX,"[[2, 1, 2], [0, 1, 2], [1, 2, 1]]","[[2, 1, 2], [1, 1, 2], [1, 2, 1]]"
X O  X   ,5,X O OX   ,"[[1, 0, 2], [0, 0, 1], [0, 0, 0]]","[[1, 0, 2], [0, 2, 1], [0, 0, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
XOXOXO XO,7,XOXOXOXXO,"[[1, 2, 1], [2, 1, 2], [0, 1, 2]]","[[1, 2, 1], [2, 1, 2], [1, 1, 2]]"
  XOX    ,7,  XOX O  ,"[[0, 0, 1], [2, 1, 0], [0, 0, 0]]","[[0, 0, 1], [2, 1, 0], [2, 0, 0]]"
O X   OXX,4,O XO  OXX,"[[2, 0, 1], [0, 0, 0], [2, 1, 1]]","[[2, 0, 1], [2, 0, 0], [2, 1, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
   XO  OX,2, X XO  OX,"[[0, 0, 0], [1, 2, 0], [0, 2, 1]]","[[0, 1, 0], [1, 2, 0], [0, 2, 1]]"
O  OXO XX,2,OX OXO XX,"[[2, 0, 0], [2, 1, 2], [0, 1, 1]]","[[2, 1, 0], [2, 1, 2], [0, 1, 1]]"
 OX X  OX,1,OOX X  OX,"[[0, 2, 1], [0, 1, 0], [0, 2, 1]]","[[2, 2, 1], [0, 1, 0], [0, 2, 1]]"
XO     OX,5,XO  X  OX,"[[1, 2, 0], [0, 0, 0], [0, 2, 1]]","[[1, 2, 0], [0, 1, 0], [0, 2, 1]]"
   XXO   ,9,   XXO  O,"[[0, 0, 0], [1, 1, 2], [0, 0, 0]]","[[0, 0, 0], [1, 1, 2], [0, 0, 2]]"
XX  O OXO,3,XXX O OXO,"[[1, 1, 0], [0, 2, 0], [2, 1, 2]]","[[1, 1, 1], [0, 2, 0], [2, 1, 2]]"
 XXO    O,1,XXXO    O,"[[0, 1, 1], [2, 0, 0], [0, 0, 2]]","[[1, 1, 1], [2, 0, 0], [0, 0, 2]]"
   X  O  ,3,  XX  O  ,"[[0, 0, 0], [1, 0, 0], [2, 0, 0]]","[[0, 0, 1], [1, 0, 0], [2, 0, 0]]"
    OXO X,3,  X OXO X,"[[0, 0, 0], [0, 2, 1], [2, 0, 1]]","[[0, 0, 1], [0, 2, 1], [2, 0, 1]]"
OOX O XX ,9,OOX O XXX,"[[2, 2, 1], [0, 2, 0], [1, 1, 0]]","[[2, 2, 1], [0, 2, 0], [1, 1, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
X OO XXOX,5,X OOOXXOX,"[[1, 0, 2], [2, 0, 1], [1, 2, 1]]","[[1, 0, 2], [2, 2, 1], [1, 2, 1]]"
    OX   ,3,  X OX   ,"[[0, 0, 0], [0, 2, 1], [0, 0, 0]]","[[0, 0, 1], [0, 2, 1], [0, 0, 0]]"
   X   O ,1,X  X   O ,"[[0, 0, 0], [1, 0, 0], [0, 2, 0]]","[[1, 0, 0], [1, 0, 0], [0, 2, 0]]"
OX X XO  ,5,OX XOXO  ,"[[2, 1, 0], [1, 0, 1], [2, 0, 0]]","[[2, 1, 0], [1, 2, 1], [2, 0, 0]]"
O  XXOX O,3,O XXXOX O,"[[2, 0, 0], [1, 1, 2], [1, 0, 2]]","[[2, 0, 1], [1, 1, 2], [1, 0, 2]]"
OO XX O X,6,OO XXXO X,"[[2, 2, 0], [1, 1, 0], [2, 0, 1]]","[[2, 2, 0], [1, 1, 1], [2, 0, 1]]"
OXOX  X O,5,OXOXX X O,"[[2, 1, 2], [1, 0, 0], [1, 0, 2]]","[[2, 1, 2], [1, 1, 0], [1, 0, 2]]"
 X   OX  ,1,OX   OX  ,"[[0, 1, 0], [0, 0, 2], [1, 0, 0]]","[[2, 1, 0], [0, 0, 2], [1, 0, 0]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
X XOO  X ,6,X XOOO X ,"[[1, 0, 1], [2, 2, 0], [0, 1, 0]]","[[1, 0, 1], [2, 2, 2], [0, 1, 0]]"
  XO OXX ,5,  XOOOXX ,"[[0, 0, 1], [2, 0, 2], [1, 1, 0]]","[[0, 0, 1], [2, 2, 2], [1, 1, 0]]"
XOXOOX XO,7,XOXOOXXXO,"[[1, 2, 1], [2, 2, 1], [0, 1, 2]]","[[1, 2, 1], [2, 2, 1], [1, 1, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XO  X    ,9,XO  X   O,"[[1, 2, 0], [0, 1, 0], [0, 0, 0]]","[[1, 2, 0], [0, 1, 0], [0, 0, 2]]"
 X  O X  ,1,OX  O X  ,"[[0, 1, 0], [0, 2, 0], [1, 0, 0]]","[[2, 1, 0], [0, 2, 0], [1, 0, 0]]"
 XXO O   ,1,XXXO O   ,"[[0, 1, 1], [2, 0, 2], [0, 0, 0]]","[[1, 1, 1], [2, 0, 2], [0, 0, 0]]"
X XX   OO,7,X XX  OOO,"[[1, 0, 1], [1, 0, 0], [0, 2, 2]]","[[1, 0, 1], [1, 0, 0], [2, 2, 2]]"
      OXX,5,    O OXX,"[[0, 0, 0], [0, 0, 0], [2, 1, 1]]","[[0, 0, 0], [0, 2, 0], [2, 1, 1]]"
OXO X  OX,7,OXO X XOX,"[[2, 1, 2], [0, 1, 0], [0, 2, 1]]","[[2, 1, 2], [0, 1, 0], [1, 2, 1]]"
XX      O,3,XXO     O,"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 2], [0, 0, 0], [0, 0, 2]]"
OO XX  X ,3,OOOXX  X ,"[[2, 2, 0], [1, 1, 0], [0, 1, 0]]","[[2, 2, 2], [1, 1, 0], [0, 1, 0]]"
O  OXXX  ,3,O OOXXX  ,"[[2, 0, 0], [2, 1, 1], [1, 0, 0]]","[[2, 0, 2], [2, 1, 1], [1, 0, 0]]"
